Reading in freezeout surface in CCAKE boost invariant format
u1.56108 1.1986 0.0174301
dat: -4.34682 9.67553 10.6383
u_dot_n: 4.99684
m_over_sigma: 0.00719784
Finished reading surface
Surface data read successfully.
Number of points: 136867

There are 328 mesons, 325 baryons and 325 antibaryons

Particle list read successfully.
Number of particles: 978
Sampling particles...
Progress: 0%
Progress: 0% completed
mbar: 0.920313, omega: 0.0148839, max_w: 1.01411
mbar: 0.920313, omega: 0.0148839, max_w: 1.01411
mbar: 0.918129, omega: 0.00882328, max_w: 1.00799
mbar: 0.920898, omega: 0.00885773, max_w: 1.00802
mbar: 0.919643, omega: 0.00497176, max_w: 1.00411
mbar: 0.920338, omega: 0.0151076, max_w: 1.01434
mbar: 0.920338, omega: 0.0151076, max_w: 1.01434
mbar: 0.919203, omega: 0.0298095, max_w: 1.02936
mbar: 0.733582, omega: 0.150683, max_w: 1.51763
mbar: 0.920424, omega: 0.00364393, max_w: 1.00278
mbar: 0.922093, omega: 0.0190871, max_w: 1.01838
mbar: 0.922093, omega: 0.0190871, max_w: 1.01838
mbar: 0.734526, omega: 0.129231, max_w: 1.45274
mbar: 0.925764, omega: 0.138055, max_w: 1.14704
mbar: 0.921054, omega: 0.00649341, max_w: 1.00564
mbar: 0.922136, omega: 0.00386915, max_w: 1.003
mbar: 0.918935, omega: 0.0107376, max_w: 1.00992
mbar: 0.918501, omega: 0.00157002, max_w: 1.0007
mbar: 0.918501, omega: 0.00157002, max_w: 1.0007
mbar: 0.920738, omega: 0.000874996, max_w: 1
mbar: 0.922767, omega: 0.00539657, max_w: 1.00453
mbar: 0.921892, omega: 0.0832608, max_w: 1.08587
mbar: 0.91949, omega: 0.00983279, max_w: 1.00901
mbar: 0.919834, omega: 0.00442542, max_w: 1.00356
mbar: 0.919834, omega: 0.00442542, max_w: 1.00356
mbar: 0.919834, omega: 0.00442542, max_w: 1.00356
mbar: 0.919834, omega: 0.00442542, max_w: 1.00356
mbar: 0.92073, omega: 0.00208183, max_w: 1.00121
mbar: 0.918162, omega: 0.00196339, max_w: 1.0011
mbar: 0.918902, omega: 0.00144429, max_w: 1.00058
mbar: 0.921294, omega: 0.00122361, max_w: 1.00035
mbar: 0.917886, omega: 0.00107842, max_w: 1.00021
mbar: 0.921047, omega: 0.000910507, max_w: 1.00004
mbar: 0.920426, omega: 0.0216079, max_w: 1.02095
mbar: 0.921063, omega: 0.0144694, max_w: 1.01369
mbar: 0.918788, omega: 0.00500591, max_w: 1.00415
mbar: 0.922705, omega: 0.0125231, max_w: 1.01171
mbar: 0.920927, omega: 0.00205764, max_w: 1.00119
mbar: 0.919629, omega: 0.00140182, max_w: 1.00053
mbar: 0.922493, omega: 0.00391587, max_w: 1.00305
mbar: 0.734416, omega: 0.110765, max_w: 1.40226
mbar: 0.922213, omega: 0.158525, max_w: 1.1787
mbar: 0.920208, omega: 0.0244574, max_w: 1.02387
mbar: 0.920462, omega: 0.0242591, max_w: 1.02366
mbar: 0.923011, omega: 0.167646, max_w: 1.19249
mbar: 0.919802, omega: 0.0366137, max_w: 1.03639
mbar: 0.921616, omega: 0.00185219, max_w: 1.00098
mbar: 0.919466, omega: 0.0228263, max_w: 1.0222
mbar: 0.921563, omega: 0.00370313, max_w: 1.00284
mbar: 0.920168, omega: 0.002673, max_w: 1.00181
mbar: 0.919453, omega: 0.00998239, max_w: 1.00916
mbar: 0.91991, omega: 0.0301196, max_w: 1.02968
mbar: 0.919683, omega: 0.000819507, max_w: 0.999949
mbar: 0.919683, omega: 0.000819507, max_w: 0.999949
mbar: 0.919865, omega: 0.00532573, max_w: 1.00446
mbar: 0.918253, omega: 0.00168835, max_w: 1.00082
mbar: 0.919483, omega: 0.00119889, max_w: 1.00033
mbar: 0.919627, omega: 0.0412584, max_w: 1.04121
mbar: 0.918615, omega: 0.0286651, max_w: 1.02819
mbar: 0.918853, omega: 0.0024561, max_w: 1.00159
mbar: 0.920197, omega: 0.0123647, max_w: 1.01156
mbar: 0.922841, omega: 0.218024, max_w: 1.28844
mbar: 0.91911, omega: 0.00280416, max_w: 1.00194
mbar: 0.919599, omega: 0.0319773, max_w: 1.0316
mbar: 0.919973, omega: 0.00172591, max_w: 1.00086
mbar: 0.918831, omega: 0.000875921, max_w: 1.00001
mbar: 0.921758, omega: 0.191216, max_w: 1.23518
mbar: 0.735071, omega: 0.139433, max_w: 1.48054
mbar: 0.921747, omega: 0.0215059, max_w: 1.02085
mbar: 0.920745, omega: 0.014489, max_w: 1.01371
mbar: 0.921406, omega: 0.0347133, max_w: 1.03442
mbar: 0.92093, omega: 0.0230515, max_w: 1.02243
mbar: 0.919987, omega: 0.0135621, max_w: 1.01277
mbar: 0.920409, omega: 0.012283, max_w: 1.01148
mbar: 0.918904, omega: 0.0067961, max_w: 1.00594
mbar: 0.922278, omega: 0.00111486, max_w: 1.00024
mbar: 0.921506, omega: 0.0191016, max_w: 1.01839
mbar: 0.918814, omega: 0.0340591, max_w: 1.03375
mbar: 0.918217, omega: 0.0292997, max_w: 1.02884
mbar: 0.920527, omega: 0.0460321, max_w: 1.0462
mbar: 0.919897, omega: 0.00407519, max_w: 1.00321
mbar: 0.920184, omega: 0.00718472, max_w: 1.00633
mbar: 0.920585, omega: 0.023633, max_w: 1.02302
mbar: 0.920486, omega: 0.0257454, max_w: 1.02519
mbar: 0.921212, omega: 0.0110887, max_w: 1.01027
mbar: 0.920859, omega: 0.00786024, max_w: 1.00701
mbar: 0.919387, omega: 0.00372682, max_w: 1.00286
mbar: 0.919956, omega: 0.0285917, max_w: 1.02811
mbar: 0.922498, omega: 0.10454, max_w: 1.10923
mbar: 0.921083, omega: 0.00109335, max_w: 1.00022
mbar: 0.91943, omega: 0.0165048, max_w: 1.01576
mbar: 0.920718, omega: 0.023584, max_w: 1.02297
mbar: 0.922303, omega: 0.0275929, max_w: 1.02708
mbar: 0.91862, omega: 0.0180178, max_w: 1.01729
mbar: 0.922676, omega: 0.0398378, max_w: 1.03973
mbar: 0.919186, omega: 0.0276111, max_w: 1.0271
mbar: 0.921287, omega: 0.0239403, max_w: 1.02333
mbar: 0.919086, omega: 0.0111282, max_w: 1.01031
mbar: 0.921947, omega: 0.00100959, max_w: 1.00014
mbar: 0.920249, omega: 0.00134576, max_w: 1.00048
mbar: 0.921371, omega: 0.00144159, max_w: 1.00057
mbar: 0.735399, omega: 0.13523, max_w: 1.46761
mbar: 0.735717, omega: 0.13051, max_w: 1.45339
mbar: 0.735717, omega: 0.13051, max_w: 1.45339
mbar: 0.92152, omega: 0.00232741, max_w: 1.00146
mbar: 0.918818, omega: 0.00329953, max_w: 1.00244
mbar: 0.919333, omega: 0.0212022, max_w: 1.02054
mbar: 0.922315, omega: 0.217982, max_w: 1.28927
mbar: 0.924907, omega: 0.226505, max_w: 1.3031
mbar: 0.919682, omega: 0.00102542, max_w: 1.00016
mbar: 0.921131, omega: 0.00340505, max_w: 1.00254
mbar: 0.91811, omega: 0.00104659, max_w: 1.00018
mbar: 0.921358, omega: 0.0280365, max_w: 1.02754
mbar: 0.919497, omega: 0.0328195, max_w: 1.03247
mbar: 0.919497, omega: 0.0328195, max_w: 1.03247
mbar: 0.92147, omega: 0.0433244, max_w: 1.04337
mbar: 0.918839, omega: 0.0195154, max_w: 1.01882
mbar: 0.921023, omega: 0.00262106, max_w: 1.00175
mbar: 0.919048, omega: 0.00232907, max_w: 1.00146
mbar: 0.919048, omega: 0.00232907, max_w: 1.00146
Progress: 19.999%
Progress: 19.999% completed
mbar: 0.920195, omega: 0.0023938, max_w: 1.00153
mbar: 0.921031, omega: 0.0133598, max_w: 1.01257
mbar: 0.91957, omega: 0.00248293, max_w: 1.00162
mbar: 0.920835, omega: 0.00884067, max_w: 1.008
mbar: 0.921886, omega: 0.00949168, max_w: 1.00866
mbar: 0.919723, omega: 0.00556542, max_w: 1.0047
mbar: 0.920497, omega: 0.00911721, max_w: 1.00828
mbar: 0.919778, omega: 0.00153098, max_w: 1.00066
mbar: 0.919302, omega: 0.00131367, max_w: 1.00044
mbar: 0.92083, omega: 0.0218657, max_w: 1.02122
mbar: 0.922116, omega: 0.0096382, max_w: 1.0088
mbar: 0.921187, omega: 0.213724, max_w: 1.2822
mbar: 0.920715, omega: 0.120228, max_w: 1.12677
mbar: 0.919952, omega: 0.00121828, max_w: 1.00035
mbar: 0.922208, omega: 0.00261337, max_w: 1.00174
mbar: 0.921142, omega: 0.00709514, max_w: 1.00624
mbar: 0.919849, omega: 0.00326716, max_w: 1.0024
mbar: 0.919595, omega: 0.0233001, max_w: 1.02268
mbar: 0.921739, omega: 0.0255752, max_w: 1.02501
mbar: 0.919146, omega: 0.0330225, max_w: 1.03268
mbar: 0.920593, omega: 0.0498793, max_w: 1.05023
mbar: 0.920666, omega: 0.0154941, max_w: 1.01473
mbar: 0.920483, omega: 0.00968132, max_w: 1.00885
mbar: 0.921143, omega: 0.0181015, max_w: 1.01738
mbar: 0.920855, omega: 0.00681186, max_w: 1.00596
mbar: 0.920855, omega: 0.00681186, max_w: 1.00596
mbar: 0.924615, omega: 0.173237, max_w: 1.19969
mbar: 0.921217, omega: 0.00282625, max_w: 1.00196
mbar: 0.922069, omega: 0.00246677, max_w: 1.0016
mbar: 0.918315, omega: 0.00343994, max_w: 1.00258
mbar: 0.920194, omega: 0.00891026, max_w: 1.00807
mbar: 0.919063, omega: 0.0204711, max_w: 1.0198
mbar: 0.91911, omega: 0.00345856, max_w: 1.00259
mbar: 0.92057, omega: 0.00894447, max_w: 1.00811
mbar: 0.919559, omega: 0.00764478, max_w: 1.0068
mbar: 0.922586, omega: 0.102699, max_w: 1.10719
mbar: 0.92061, omega: 0.0061123, max_w: 1.00525
mbar: 0.918558, omega: 0.00898296, max_w: 1.00815
mbar: 0.918657, omega: 0.0114511, max_w: 1.01064
